train_size,train_mean,train_std,valid_mean,valid_std
301,0.04182562243530417,0.001971565931750754,0.5545048466216727,0.04437311494398546
418,0.05059697611485335,0.0036015010423476827,0.48701892287107684,0.03175329896173695
535,0.06397198497830721,0.0020618308309388327,0.48168611058375943,0.022273423661580107
652,0.07366838780152125,0.0009219212029965228,0.4669400933398233,0.029215040616786477
770,0.0772229864787721,0.0027998807542818746,0.47615901814303385,0.04302691401006387
887,0.0859860366922832,0.0008042338165219376,0.4594968565916647,0.03826299913964458
1004,0.09130869188540747,0.0011570455096477806,0.3690483382560119,0.004313652030483757
1121,0.09377938323587565,0.0012782841645269326,0.36548701283349344,0.007658856063819341
1238,0.10226819288281604,0.0017789840807838797,0.34871700728143684,0.02000056107529987
1355,0.107095147994787,0.0018570801411685097,0.3478219472677218,0.01731874345556162
1472,0.112187578209283,0.001851126890960958,0.3420343927644204,0.014618852311296096
1589,0.11545477000668303,0.002746226599933788,0.33847874475599093,0.015349460294522888
1706,0.11939802167042397,0.0024674943001408295,0.33231566019824477,0.01864376145528803
1823,0.12417396438134468,0.0016745479657400584,0.3283315109841088,0.016864428101388503
1940,0.12707593936970912,0.002452975475718076,0.3251502175594189,0.016557049480984343
2057,0.13064825250191575,0.0021005691676239495,0.32234646291120955,0.016566068026223523
2174,0.13532419271367507,0.0019681128116676907,0.3198544190173581,0.014353772791612427
2291,0.13739150089596508,0.003111423371198852,0.3147111232080889,0.011163258010369687
2408,0.14142474801467858,0.0028044590600378914,0.3115681665134244,0.011341603022971564
2525,0.14374825503279715,0.002132194161083174,0.3121902291056049,0.011318454232722503
2642,0.1453345657170427,0.0022723778365501507,0.31168698111877885,0.010075946023423295
2759,0.1459366380401497,0.0008563442065338473,0.30784405310525675,0.009947654163487814
2876,0.14844101159095396,0.0010277350881048293,0.3081368889636582,0.009020159846222784
2993,0.15157531355663734,0.001642870230898402,0.3067677219459092,0.008095832825086937
3110,0.1528552849370847,0.0011256210036509145,0.30278081562711157,0.0075823193929313954
3227,0.1551417758875166,0.0008543423841241347,0.30127170891670674,0.00632388971017569
3344,0.15633495700058808,0.0014031015283933696,0.30181007644994845,0.007386728430503222
3462,0.1587740854303188,0.0009142380299818534,0.3008479334805368,0.00780460694308315
3579,0.16279086590455044,0.0010688495071255564,0.2997348542909273,0.008799279305823157
3696,0.16253752174699504,0.0012937429920178963,0.29823879545847376,0.00791182760494082
3813,0.16425097291715524,0.002115347283952021,0.2953684950141406,0.007313046062256795
3930,0.16569563496900436,0.0016836194461294991,0.29451335502846615,0.006621764732440555
4047,0.1672731200393999,0.0013887456078818913,0.2940125657377851,0.005610957363031937
4164,0.16752919816975287,0.0010168064745289145,0.2918459592710306,0.006150738077534515
4281,0.16728144464730768,0.0016456528303807583,0.29196923641370603,0.006057335514117973
4398,0.1682467068122003,0.0014657163006002573,0.2913452598975838,0.005379032108383046
4515,0.17076391562091137,0.0013494017934438708,0.28763723856997603,0.005322606032946628
4632,0.17090484810938406,0.0003111118155980678,0.2873309205846035,0.006473603325671601
4749,0.1726213493527001,0.0005610168123599822,0.2884252028052928,0.004586535372626539
4866,0.17374779662077602,0.0011809378940370913,0.28735078553758403,0.005823694200727948
4983,0.1746600488544267,0.0013277569718708902,0.28731559952321706,0.0060194483731651136
5100,0.17672906328910726,0.001159357147319778,0.2867082575047393,0.00614442410575296
5217,0.17751607033494676,0.0013571512850041666,0.28655685154939825,0.006846347456147578
5334,0.17878878969017206,0.0007740400096916784,0.28505589822788313,0.0068396995327598496
5451,0.1799713074708228,0.0007643545669938181,0.2864666741263187,0.006606959392030503
5568,0.18121772488575144,0.0008584169869370499,0.2861403230334497,0.006053706024810056
5685,0.18141114660172253,0.0009358151695873292,0.28614297417482776,0.006552630905192048
5802,0.1826714000817249,0.0012965130748293797,0.2858979297393677,0.00692216509515463
5919,0.18460204343289618,0.0012278834778049743,0.2841483266663015,0.006724231009870609
6037,0.18523974865123946,0.0014166589464753184,0.2826048162858495,0.0065122586085436815
