feature,importance
zona_urbana,0.047264192992262456
veh_pob_ratio,0.0052829822181107815
log_poblacion,0.10439387212780357
log_vehiculos,0.03236049131068848
veh_zona_interaction,0.08215058875942505
accidentes_lag1,0.5945822356193378
mes_cos,0.0032759134861245114
mes_sin,0.003485134199889721
log_muertos,0.012998558619049166
log_graves,0.04185763675139406
log_m/grave,0.02460488295900682
log_leves,0.026266528018670982
log_ilesos,0.021476982938236664
