train_size,train_mean,train_std,valid_mean,valid_std
301,0.10578922822595123,0.010050070349802926,0.5006112688965304,0.03614384054172832
418,0.12596422461611506,0.009755660570127618,0.4981959249237655,0.02931563344159997
535,0.14129343306935166,0.009411232782028997,0.504307880905397,0.0337668460912945
652,0.15930017986697756,0.00469734415981139,0.46355581100642446,0.02171349580030273
770,0.1654150754663748,0.007321800490568221,0.46166105056990975,0.02384270896873122
887,0.1746899547349698,0.007560240241075907,0.4577706760558158,0.03296102517548242
1004,0.1874988925276284,0.007166041994322817,0.40854291755847444,0.016708766278304917
1121,0.19032269635735935,0.005970992780168199,0.39977541498037644,0.019701264735443976
1238,0.19855480543359896,0.005735085351268872,0.398370506909121,0.023316401320967354
1355,0.20475143747898175,0.00451663212669704,0.38955737262376633,0.02147695670256347
1472,0.2159292122019246,0.0008095430340860495,0.38740484823516663,0.018731692328491742
1589,0.2208241320742553,0.0008525941063887159,0.3879580493581716,0.020498340960572136
1706,0.223287664055148,0.0013170727656490729,0.3814740773981723,0.02155748146909839
1823,0.23048832275270978,0.0009120504613345757,0.3776859652040109,0.0220196394822557
1940,0.23386800254241508,0.002451458644618332,0.37375066327735407,0.02479596248265492
2057,0.2397558642137568,0.00227576024962297,0.3724722921567111,0.017211592929012812
2174,0.2409096906070703,0.0021007927719659323,0.3659619594313306,0.014833547674805998
2291,0.24468894664756452,0.0030079915633248744,0.36140202440936003,0.011511827472893222
2408,0.2472385366982016,0.0029664606827125486,0.36020215958694174,0.010131056389434479
2525,0.24876869283910522,0.0047492993431188105,0.35979111473747455,0.012845403826852519
2642,0.25071517633740503,0.002729196206060573,0.35673357052446053,0.0063470221327656135
2759,0.2540763644490178,0.0018807217280783287,0.35519473045768424,0.0097410292835018
2876,0.2546866566686441,0.0020225328034486905,0.3572408406465114,0.007237099424579897
2993,0.2556610662740039,0.002628883289242042,0.35387138050500094,0.007833773442734643
3110,0.2593996609449494,0.0020157285714226423,0.3554551037196692,0.008447548077205389
3227,0.2609614630777287,0.0017796634872134511,0.35711765507634957,0.010057895375542827
3344,0.26294368584315053,0.0025105606146913527,0.35425164469155973,0.006449547404310912
3462,0.26376361403151144,0.0016282256388361817,0.3535969287970967,0.007785713800470838
3579,0.2683669646332773,0.0015905050352859496,0.35452903518462775,0.007193781822407655
3696,0.2655974985708409,0.0011108978972248582,0.35550774711584926,0.009542005456191254
3813,0.2667021771936901,0.0016160967555834552,0.35069045089063317,0.007947657554282311
3930,0.2673311931223193,0.001895267363793298,0.35161096282692156,0.007576540366047942
4047,0.2677392593384231,0.001516720220842826,0.3503699722733752,0.00890826896603717
4164,0.26895804645207455,0.0016324576857825138,0.3523814628596532,0.008756321724419305
4281,0.269830289268028,0.0012279953598063513,0.34880609664109874,0.009254617362424198
4398,0.27028934896649465,0.0010646342570828245,0.3477231006405394,0.008993085904809562
4515,0.27100862835294054,0.0011960264725594046,0.345964654042106,0.008022309699500414
4632,0.272550746496014,0.0024959771639415885,0.34556776059995004,0.007433592927564631
4749,0.2719650922311739,0.0021621044203521157,0.34472724467328997,0.007618247656697798
4866,0.2733856397131131,0.0023776629707114873,0.34549828597779164,0.010161136543850244
4983,0.2723542109761984,0.0030145083965773204,0.34362846814252496,0.007717063052507574
5100,0.27515039092082777,0.0028433338304049115,0.34358142616724285,0.0069965143367875515
5217,0.2755248472023671,0.002149437833047819,0.3411360797670497,0.009147159516710033
5334,0.2773244762055366,0.001994359029006287,0.34245943702824627,0.00924361295554652
5451,0.276238420263791,0.0017847236859987073,0.34288843969748894,0.010758069043808416
5568,0.27725543375929107,0.002345641933272914,0.344384191753272,0.011354759628898628
5685,0.2765525928782913,0.002409499214368961,0.34371785784165676,0.009794057798458286
5802,0.2769636397717524,0.0024403746468624043,0.34224803788385777,0.011503442555578156
5919,0.27875046180505725,0.001573768459011169,0.34078177045999725,0.009530712378846406
6037,0.27914831999611817,0.00111103841671773,0.3412525911752692,0.010682068239349508
